project,all_mutants,smackEvo_mutants_killed,kex_mutants_killed,smackRC_mutants_killed,jdart_mutants_killed,jdoop_mutants_killed,exliDev_mutants_killed,exliEvo_mutants_killed,exliRC_mutants_killed
3redronin-mu-server-69683cf8009d7a0ac52452fd4b0abe06ffd0bf87-AsyncSsePublisher-L174_L178,8,7,6,0,0,0,0,0,0
3redronin-mu-server-69683cf8009d7a0ac52452fd4b0abe06ffd0bf87-AsyncSsePublisherTest-L102_L105,6,0,5,3,0,0,0,0,0
3redronin-mu-server-69683cf8009d7a0ac52452fd4b0abe06ffd0bf87-Http1Response-L62_L66,7,7,7,0,0,0,0,0,0
3redronin-mu-server-69683cf8009d7a0ac52452fd4b0abe06ffd0bf87-Http2Connection-L355_L359,3,0,0,0,0,0,0,0,0
3redronin-mu-server-69683cf8009d7a0ac52452fd4b0abe06ffd0bf87-NettyResponseAdaptor-L153_L157,7,7,7,0,0,0,0,0,0
3redronin-mu-server-69683cf8009d7a0ac52452fd4b0abe06ffd0bf87-RateLimiterImpl-L42_L45,13,11,11,0,0,0,0,0,0
3redronin-mu-server-69683cf8009d7a0ac52452fd4b0abe06ffd0bf87-RequestBodyReader-L147_L152,9,4,5,3,0,4,0,0,0
3redronin-mu-server-69683cf8009d7a0ac52452fd4b0abe06ffd0bf87-RequestBodyReader-L71_L76,12,10,10,9,0,0,0,1,0
adobe-commerce-cif-magento-graphql-0bc22bb767a8270f94ee04d85ab2571569a146a1-ProductFilterInput-L1411_L1416,10,2,1,1,0,1,0,0,0
adobe-commerce-cif-magento-graphql-0bc22bb767a8270f94ee04d85ab2571569a146a1-ProductSortInput-L1270_L1275,10,2,1,1,0,1,0,0,0
albfernandez-itext2-5ac684e2140a3d9a5b4c34dfd2639dcc87884ad0-BmpImage-L401_L415,87,9,8,9,6,9,15,0,0
albfernandez-itext2-5ac684e2140a3d9a5b4c34dfd2639dcc87884ad0-HTMLWorker-L285_L290,7,7,7,0,0,0,0,0,0
albfernandez-itext2-5ac684e2140a3d9a5b4c34dfd2639dcc87884ad0-PushbuttonField-L476_L492,33,3,2,3,0,3,0,0,0
albfernandez-itext2-5ac684e2140a3d9a5b4c34dfd2639dcc87884ad0-SAXiTextHandler-L460_L474,28,28,0,0,0,0,0,0,0
albfernandez-itext2-5ac684e2140a3d9a5b4c34dfd2639dcc87884ad0-SimpleXMLParser-L377_L383,21,20,18,0,0,17,0,0,0
albfernandez-itext2-5ac684e2140a3d9a5b4c34dfd2639dcc87884ad0-TiffImage-L494_L502,103,0,101,0,0,0,0,0,0
alfasoftware-soapstone-480e00c3384796efb1b2e69ba611d0234f6af333-WebServiceInvoker-L99_L103,1,0,0,0,0,0,0,0,0
alibaba-compileflow-e96a05224f71bf4aa3d9fb37bba85764b2fc153f-DataType-L1023_L1033,15,3,4,4,0,0,0,2,0
alibaba-compileflow-e96a05224f71bf4aa3d9fb37bba85764b2fc153f-DataType-L1041_L1047,2,1,0,0,0,0,0,0,0
alibaba-compileflow-e96a05224f71bf4aa3d9fb37bba85764b2fc153f-DataType-L1056_L1066,17,14,10,10,0,0,0,0,0
alibaba-compileflow-e96a05224f71bf4aa3d9fb37bba85764b2fc153f-PluginManager-L133_L140,28,26,0,10,0,0,0,0,0
