project,parallel_core,parallel_generation,parallel_reduction,parallel_before_tests,parallel_after_tests,coverage_core,coverage_generation,coverage_reduction,coverage_before_tests,coverage_after_tests,mutation_core,mutation_generation,mutation_reduction,mutation_before_tests,mutation_after_tests
3redronin-mu-server-69683cf8009d7a0ac52452fd4b0abe06ffd0bf87-AsyncSsePublisher-L174_L178,7192,322154,35010,16,5,4370,362065,32,18,3,8059,446422,34312,19,1
3redronin-mu-server-69683cf8009d7a0ac52452fd4b0abe06ffd0bf87-AsyncSsePublisherTest-L102_L105,7045,1138322,36178,13,3,4484,2110895,7,13,0,7373,497692,35404,13,2
3redronin-mu-server-69683cf8009d7a0ac52452fd4b0abe06ffd0bf87-Http1Response-L62_L66,7206,258764,33385,12,5,4367,367964,38,14,2,8072,370226,32833,9,3
3redronin-mu-server-69683cf8009d7a0ac52452fd4b0abe06ffd0bf87-Http2Connection-L355_L359,7118,612757,31357,4,4,4489,1025337,38,4,1,8298,241541,30839,3,1
3redronin-mu-server-69683cf8009d7a0ac52452fd4b0abe06ffd0bf87-NettyResponseAdaptor-L153_L157,7180,1829040,33452,15,6,4391,385297,29,22,2,8180,370668,33330,10,2
3redronin-mu-server-69683cf8009d7a0ac52452fd4b0abe06ffd0bf87-RateLimiterImpl-L42_L45,7212,256763,39137,36,24,4377,167275,24,13,2,8092,414638,37682,17,3
3redronin-mu-server-69683cf8009d7a0ac52452fd4b0abe06ffd0bf87-RequestBodyReader-L147_L152,7179,1141461,37173,90,9,4480,1327960,39,16,2,8208,485292,33764,9,2
3redronin-mu-server-69683cf8009d7a0ac52452fd4b0abe06ffd0bf87-RequestBodyReader-L71_L76,7148,1868229,75791,29,10,4433,2581471,408,22,3,8296,405487,38513,41,2
adobe-commerce-cif-magento-graphql-0bc22bb767a8270f94ee04d85ab2571569a146a1-ProductFilterInput-L1411_L1416,7305,2048838,43753,56,8,5015,4618556,49,55,1,10599,403914,41961,6,1
adobe-commerce-cif-magento-graphql-0bc22bb767a8270f94ee04d85ab2571569a146a1-ProductSortInput-L1270_L1275,7398,2110750,43301,52,9,5053,4646419,96,58,1,10620,405284,41723,6,1
albfernandez-itext2-5ac684e2140a3d9a5b4c34dfd2639dcc87884ad0-BmpImage-L401_L415,6669,1001121,118614,144,6,4061,369815,20,30,1,7483,561854,104108,31,1
albfernandez-itext2-5ac684e2140a3d9a5b4c34dfd2639dcc87884ad0-HTMLWorker-L285_L290,6343,477197,33791,21,16,4104,1405577,46,22,2,7625,192540,32557,8,2
